Rank,TICK,TICK_LON,Company,Market,Volyme,Market Cam,marketcap,PRICE,VOLUME,volumeavg,high52,change,IF VOL > 5XAVG -> TRUE,IF VOL > 10XAVG -> TRUE
1,SHEL,LON:SHEL,Shell,FTSE 100,"2,895.00","187,004.4",233036140219,2907,13176526,10806772,"74,61","-0,66",FALSE,FALSE
2,AZN,LON:AZN,AstraZeneca,FTSE 100,"11,268.00","174,675.3",239344918326,12316,505301,1813712,"77,94","0,11",FALSE,FALSE
3,HSBA,LON:HSBA,HSBC Holdings,FTSE 100,667.70,"127,290.7",166915606166,"704,3",44525711,22467173,"725,2","4,9",FALSE,FALSE
,BHP,LON:BHP,BHP Group Ltd,,"2,337.00","118,355.2",118749678210,2347,2507919,1241467,"69,11","1,83",FALSE,FALSE
4,ULVR,LON:ULVR,Unilever,FTSE 100,"3,861.00","96,541.1",135520244662,4305,845422,3507003,4378,"-12,87",FALSE,FALSE
5,BP,LON:BP,BP,FTSE 100,523.10,"88,829.7",105330779126,502,15492574,37845789,"40,84","-0,27",FALSE,FALSE
6,GSK,LON:GSK,GSK,FTSE 100,"1,651.00","67,966.6",94529221817,"1809,24",2023721,5500039,"45,44","0,25",FALSE,FALSE
7,RIO,LON:RIO,Rio Tinto,FTSE 100,"5,317.00","66,532.7",118576303133,5534,1155257,2811245,"75,09","-0,15",FALSE,FALSE
,BNC,LON:BNC,Banco Santander SA,,405.00,"63,751.1",81446445611,"408,14",550372,369079,423,2,FALSE,FALSE
8,REL,LON:REL,RELX,FTSE 100,"3,364.00","63,327.1",80052020000,3444,1496071,3116723,"3531,81",34,FALSE,FALSE
9,DGE,LON:DGE,Diageo,FTSE 100,"2,819.00","62,973.3",63010067025,"2839,5",962425,3040384,"1225,22","2,34",FALSE,FALSE
10,GLEN,LON:GLEN,Glencore,FTSE 100,468.50,"57,160.3",59266955804,"487,55",13159608,31444726,"491,65","12,5",FALSE,FALSE
11,BATS,LON:BATS,British American Tobacco,FTSE 100,"2,360.00","52,779.5",68960689718,2460,2454081,4688502,"2754,66",0,FALSE,FALSE
12,LSEG,LON:LSEG,London Stock Exchange Group,FTSE 100,"8,998.00","46,842.2",48314160000,9038,83534,888656,9696,-54,FALSE,FALSE
